date,close,slow_ma_130SMA,fast_ma_44SMA
2021-11-08,67566.828125,47129.73894230769,57029.66397372159
2021-11-09,66971.828125,47384.16033653846,57569.738725142044
2021-11-10,64995.23046875,47617.442518028845,58087.00008877841
2021-11-11,64949.9609375,47845.61313100962,58630.53231534091
2021-11-12,64155.94140625,48079.535727163464,59143.97727272727
2021-11-13,64469.52734375,48312.10751201923,59613.94620028409
2021-11-14,65466.83984375,48555.272986778844,60008.26207386364
2021-11-15,63557.87109375,48791.276832932694,60368.40713778409
2021-11-16,60161.24609375,48994.070943509614,60640.254705255684
2021-11-17,60368.01171875,49200.59011418269,60896.05264559659
2021-11-18,56942.13671875,49375.22049278846,61019.400923295456
2021-11-19,58119.578125,49567.24918870192,61082.08567116477
2021-11-20,59697.1953125,49774.90434194711,61215.97682883523
2021-11-21,58730.4765625,49974.19764122596,61324.21839488636
2021-11-22,56289.2890625,50162.725015024036,61354.242631392044
2021-11-23,57569.07421875,50363.859900841344,61417.822088068184
2021-11-24,56280.42578125,50554.224188701926,61390.4501953125
2021-11-25,57274.6796875,50750.20779747596,61418.48703835227
2021-11-26,53569.765625,50925.22267127404,61331.411310369316
2021-11-27,54815.078125,51117.58982872596,61274.44664417614
2021-11-28,57248.45703125,51310.95724158654,61175.68545809659
2021-11-29,57806.56640625,51507.060787259616,61105.55788352273
2021-11-30,57005.42578125,51687.244441105766,61002.189897017044
2021-12-01,57229.828125,51863.685847355766,60893.18421519886
2021-12-02,56477.81640625,52026.20606971154,60716.27112926136
2021-12-03,53598.24609375,52151.28846153846,60434.57590553977
2021-12-04,49200.703125,52226.62509014423,60138.90616122159
2021-12-05,49368.84765625,52298.724639423075,59881.55575284091
2021-12-06,50582.625,52380.06466346154,59635.851384943184
2021-12-07,50700.0859375,52445.17650240385,59403.33433948864
2021-12-08,50504.796875,52513.4734375,59118.44735440341
2021-12-09,47672.12109375,52572.68287259615,58830.00026633523
2021-12-10,47243.3046875,52634.539483173074,58574.566583806816
2021-12-11,49362.5078125,52720.76661658654,58318.66592684659
2021-12-12,50098.3359375,52800.38840144231,58042.99254261364
2021-12-13,46737.48046875,52845.526292067305,57698.64364346591
2021-12-14,46612.6328125,52874.72731370192,57364.409002130684
2021-12-15,48896.72265625,52908.11902043269,57089.234375
2021-12-16,47665.42578125,52937.86754807692,56735.57581676136
2021-12-17,46202.14453125,52936.61171875,56354.487127130684
2021-12-18,46848.77734375,52946.33284254808,56022.59046519886
2021-12-19,46707.015625,52954.89729567308,55694.89364346591
2021-12-20,46880.27734375,52973.75874399039,55362.00266335227
2021-12-21,48936.61328125,52982.553305288464,55034.948686079544
2021-12-22,48628.51171875,52994.33458533654,54604.532404119316
2021-12-23,50784.5390625,53023.08485576923,54236.639470880684
2021-12-24,50822.1953125,53060.14417067308,53914.52503551136
2021-12-25,50429.859375,53104.25570913462,53584.52272727273
2021-12-26,50809.515625,53150.47361778846,53281.194868607956
2021-12-27,50640.41796875,53180.64930889423,52966.896928267044
2021-12-28,47588.85546875,53167.185306490384,52560.5791015625
2021-12-29,46444.7109375,53148.25621995192,52171.64364346591
2021-12-30,47178.125,53131.767548076925,51876.572709517044
2021-12-31,46306.4453125,53106.846754807695,51556.991654829544
2022-01-01,47686.8125,53106.69825721154,51346.643377130684
2022-01-02,47345.21875,53094.27079326923,51101.77157315341
2022-01-03,46458.1171875,53090.54693509615,50800.88343394886
2022-01-04,45897.57421875,53066.23082932692,50509.2265625
2022-01-05,43569.00390625,53025.2046875,50220.12917258523
2022-01-06,43160.9296875,52981.59774639423,49892.671342329544
2022-01-07,41557.90234375,52939.3125,49558.068536931816
2022-01-08,41733.94140625,52897.52214543269,49204.869939630684
2022-01-09,41911.6015625,52844.172716346155,48939.911665482956
2022-01-10,41821.26171875,52786.43070913461,48644.59765625
2022-01-11,42735.85546875,52730.35748197115,48314.765802556816
2022-01-12,43949.1015625,52684.23807091346,47999.823419744316
2022-01-13,42591.5703125,52613.76237980769,47672.235795454544
2022-01-14,43099.69921875,52540.42518028846,47351.096502130684
2022-01-15,43177.3984375,52512.47340745192,47048.814275568184
2022-01-16,43113.87890625,52489.569471153845,46810.533203125
2022-01-17,42250.55078125,52457.71661658654,46652.5751953125
2022-01-18,42375.6328125,52438.422175480766,46493.638494318184
2022-01-19,41744.328125,52411.82887620192,46292.768110795456
2022-01-20,40680.41796875,52370.422325721156,46065.048384232956
2022-01-21,36457.31640625,52304.99341947115,45745.78746448864
2022-01-22,35030.25,52212.20694110577,45458.472212357956
2022-01-23,36276.8046875,52120.67199519231,45209.233575994316
2022-01-24,36654.328125,52035.0640625,44920.411310369316
2022-01-25,36954.00390625,51955.72932692308,44621.67649147727
2022-01-26,36852.12109375,51867.83515625,44397.009232954544
2022-01-27,37138.234375,51789.97373798077,44181.68199573864
2022-01-28,37784.33203125,51751.05474759615,43929.12766335227
2022-01-29,38138.1796875,51731.39708533654,43712.59934303977
2022-01-30,37917.6015625,51687.882421875,43524.314275568184
2022-01-31,38483.125,51638.55955528846,43334.18581321023
2022-02-01,38743.2734375,51607.048197115386,43153.19167258523
2022-02-02,36952.984375,51562.71274038462,42927.57137784091
2022-02-03,37154.6015625,51516.14399038462,42659.798384232956
2022-02-04,41500.875,51510.49125600961,42497.806640625
2022-02-05,41441.1640625,51513.619110576925,42285.457208806816
2022-02-06,42412.43359375,51520.14272836538,42094.32626065341
2022-02-07,43840.28515625,51520.52265625,41944.56321022727
2022-02-08,44118.4453125,51489.764993990386,41792.49343039773
2022-02-09,44338.796875,51463.821213942305,41649.27476917614
2022-02-10,43565.11328125,51428.168599759614,41557.82608309659
2022-02-11,42407.9375,51376.59194711538,41466.081232244316
2022-02-12,42244.46875,51305.28161057692,41353.952681107956
2022-02-13,42197.515625,51204.020582932695,41260.567915482956
2022-02-14,42586.91796875,51117.720072115386,41144.66122159091
2022-02-15,44575.203125,51045.46896033654,41081.70632102273
2022-02-16,43961.859375,50960.80462740385,41024.973188920456
2022-02-17,40538.01171875,50851.31565504808,40903.16495028409
2022-02-18,40030.9765625,50717.05555889423,40822.75523792614
2022-02-19,40122.15625,50594.602463942305,40753.692205255684
2022-02-20,38431.37890625,50448.68155048077,40682.63485440341
2022-02-21,37075.28125,50292.94122596154,40576.75621448864
2022-02-22,38286.02734375,50113.64951923077,40494.35680042614
2022-02-23,37296.5703125,49932.144831730766,40391.522904829544
2022-02-24,38332.609375,49753.52169471154,40291.44912997159
2022-02-25,39214.21875,49578.04585336539,40183.83815696023
2022-02-26,39105.1484375,49384.531670673074,40104.60129616477
2022-02-27,37709.78515625,49166.96974158654,39982.10324928977
2022-02-28,43193.234375,49020.68560697115,39982.46315696023
2022-03-01,44354.63671875,48895.01153846154,40010.66219815341
2022-03-02,43924.1171875,48760.63076923077,40048.697798295456
2022-03-03,42451.7890625,48618.48425480769,40050.42862215909
2022-03-04,39137.60546875,48434.62103365385,39991.18492542614
2022-03-05,39400.5859375,48273.36559495192,39962.097833806816
2022-03-06,38419.984375,48119.03942307692,40006.703924005684
2022-03-07,38062.0390625,47945.50021033654,40075.608220880684
2022-03-08,38737.26953125,47764.80255408654,40131.527876420456
2022-03-09,41982.92578125,47611.680198317306,40252.632368607956
2022-03-10,39437.4609375,47443.36099759615,40309.07457386364
2022-03-11,38794.97265625,47272.51920072115,40353.230291193184
2022-03-12,38904.01171875,47085.42388822115,40393.36159446023
2022-03-13,37849.6640625,46892.19017427885,40394.84641335227
2022-03-14,39666.75390625,46724.60958533654,40429.586736505684
2022-03-15,39338.78515625,46557.01811899038,40461.88636363636
2022-03-16,41143.9296875,46400.22157451923,40522.359197443184
2022-03-17,40951.37890625,46228.10150240385,40572.543412642044
2022-03-18,41801.15625,46029.90402644231,40682.72913707386
2022-03-19,42190.65234375,45839.279597355766,40797.18483664773
2022-03-20,41247.82421875,45656.60724158654,40791.43368252841
2022-03-21,41077.99609375,45472.97674278846,40783.179865056816
2022-03-22,42358.80859375,45305.30649038462,40781.961115056816
2022-03-23,42892.95703125,45139.332872596155,40760.43093039773
2022-03-24,43960.93359375,44973.90282451923,40756.851118607956
2022-03-25,44348.73046875,44826.140204326926,40757.07688210227
2022-03-26,44500.828125,44705.67545072115,40778.34312855114
2022-03-27,46820.4921875,44601.46376201923,40878.628462357956
2022-03-28,47128.00390625,44525.97043269231,40989.61789772727
2022-03-29,47465.73046875,44444.01775841346,41109.350053267044
2022-03-30,47062.6640625,44346.82905649039,41211.07155539773
2022-03-31,45538.67578125,44245.35366586538,41232.96866122159
2022-04-01,46281.64453125,44168.37178485577,41285.69105113636
2022-04-02,45868.94921875,44078.37082331731,41406.84872159091
2022-04-03,46453.56640625,44002.779597355766,41552.81667258523
2022-04-04,46622.67578125,43920.84110576923,41700.55575284091
2022-04-05,45555.9921875,43859.196694711536,41862.47878196023
2022-04-06,43206.73828125,43769.901772836536,42001.830078125
2022-04-07,43503.84765625,43664.17400841346,42120.41690340909
2022-04-08,42287.6640625,43544.79783653846,42233.85085227273
2022-04-09,42782.13671875,43435.38792067308,42334.97647372159
2022-04-10,42207.671875,43319.832872596155,42403.00949928977
2022-04-11,39521.90234375,43189.402764423074,42412.48117897727
2022-04-12,40127.18359375,43085.77920673077,42467.422052556816
2022-04-13,41166.73046875,43023.979417067305,42421.36514559659
2022-04-14,39935.515625,42951.41532451923,42320.93057528409
2022-04-15,40553.46484375,42874.26793870192,42244.32484019886
2022-04-16,40424.484375,42795.224849759616,42198.24973366477
2022-04-17,39716.953125,42712.24143629808,42211.41672585227
2022-04-18,40826.21484375,42659.58061899038,42243.8173828125
2022-04-19,41502.75,42615.422506009614,42313.88023792614
2022-04-20,41374.37890625,42553.97536057692,42389.160688920456
2022-04-21,40527.36328125,42480.35249399039,42429.84463778409
2022-04-22,39740.3203125,42426.528185096155,42378.87633167614
2022-04-23,39486.73046875,42371.71355168269,42379.99609375
2022-04-24,39469.29296875,42299.194861778844,42395.32155539773
2022-04-25,40458.30859375,42243.75549879808,42430.646484375
2022-04-26,38117.4609375,42181.565625,42436.73277698864
2022-04-27,39241.12109375,42123.04519230769,42427.05930397727
2022-04-28,39773.828125,42069.71298076923,42436.94664417614
2022-04-29,38609.82421875,42006.09411057692,42379.353338068184
2022-04-30,37714.875,41919.773046875,42305.796431107956
2022-05-01,38469.09375,41841.623677884614,42230.06773792614
2022-05-02,38529.328125,41747.35282451923,42146.85582386364
2022-05-03,37750.453125,41646.80096153846,42067.3701171875
2022-05-04,39698.37109375,41564.251051682695,42036.01500355114
2022-05-05,36575.140625,41454.755859375,41904.56800426136
2022-05-06,36040.921875,41342.45204326923,41748.83993252841
2022-05-07,35501.953125,41249.47587139423,41556.590376420456
2022-05-08,34059.265625,41154.20321514423,41322.73890269886
2022-05-09,30296.953125,41024.348046875,40999.92356178977
2022-05-10,31022.90625,40906.782361778845,40640.887517755684
2022-05-11,28936.35546875,40762.54807692308,40227.440962357956
2022-05-12,29047.751953125,40621.79833233173,39808.850541548294
2022-05-13,29283.103515625,40489.68284254808,39404.76962002841
2022-05-14,30101.265625,40368.172776442305,39053.919389204544
2022-05-15,31305.11328125,40273.83515625,38713.54367897727
2022-05-16,29862.91796875,40171.54275841346,38349.77024147727
2022-05-17,30425.857421875,40085.911643629806,37985.50412819602
2022-05-18,28720.271484375,39985.80649038462,37578.631303267044
2022-05-19,30314.333984375,39896.59673978365,37232.22998046875
2022-05-20,29200.740234375,39799.51580528846,36913.91184303977
2022-05-21,29432.2265625,39697.180198317306,36594.10227272727
2022-05-22,30323.72265625,39592.369591346156,36322.194513494316
2022-05-23,29098.91015625,39488.57989783654,36011.212091619316
2022-05-24,29655.5859375,39385.163641826926,35725.93741122159
2022-05-25,29562.361328125,39280.432587139425,35499.58420632102
2022-05-26,29267.224609375,39173.91986177885,35252.76695667614
2022-05-27,28627.57421875,39069.127734375,34967.7861328125
2022-05-28,28814.900390625,38964.81440805289,34715.044877485794
2022-05-29,29445.95703125,38870.21155348558,34462.601518110794
2022-05-30,31726.390625,38801.33442007212,34264.91756924716
2022-05-31,31792.310546875,38765.44975961538,34084.812056107956
2022-06-01,29799.080078125,38725.209990985575,33834.195356889206
2022-06-02,30467.48828125,38680.52294170673,33583.39395419034
2022-06-03,29704.390625,38627.06188401442,33318.166947798294
2022-06-04,29832.9140625,38572.28426983173,33075.111283735794
2022-06-05,29906.662109375,38518.857662259616,32851.61905184659
2022-06-06,31370.671875,38474.491796875,32667.163174715908
2022-06-07,31155.478515625,38423.50061598558,32478.212846235794
2022-06-08,30214.35546875,38362.54812199519,32245.395729758522
