slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
160,SMA,60,SMA,True,False,True,3.0,1.0,False,2.0,D,2021-04-14,2026-04-02,25,83.6,20.52,1836.04,17.63,1.164,False,36.0,2.804,3.1,0.243,13.37,-2.68,50.76,-4.97,0,0.0,VOO,2021_default,equity_quick
160,SMA,60,SMA,True,False,True,3.0,1.0,True,8.0,D,2021-04-14,2026-04-02,25,83.6,20.52,1836.04,17.63,1.164,False,36.0,2.804,3.1,0.243,13.37,-2.68,50.76,-4.97,0,0.0,VOO,2021_default,equity_quick
160,SMA,60,SMA,True,False,True,3.0,1.0,True,12.0,D,2021-04-14,2026-04-02,25,83.6,20.52,1836.04,17.63,1.164,False,36.0,2.804,3.1,0.243,13.37,-2.68,50.76,-4.97,0,0.0,VOO,2021_default,equity_quick
160,SMA,60,SMA,True,False,True,3.0,1.0,True,15.0,D,2021-04-14,2026-04-02,25,83.6,20.52,1836.04,17.63,1.164,False,36.0,2.804,3.1,0.243,13.37,-2.68,50.76,-4.97,0,0.0,VOO,2021_default,equity_quick
100,SMA,44,SMA,True,True,False,4.0,1.0,True,8.0,D,2021-04-14,2026-04-02,41,212.79,47.25,3127.86,40.63,1.163,False,24.39,2.809,4.11,0.217,26.16,-3.0,74.63,-8.0,6,14.6,VOO,2021_default,equity_quick
200,SMA,44,SMA,True,False,True,4.0,1.0,False,2.0,D,2021-04-14,2026-04-02,23,101.26,24.74,2012.61,21.3,1.161,False,30.43,2.657,4.36,0.231,22.99,-3.79,73.69,-9.24,0,0.0,VOO,2021_default,equity_quick
200,SMA,44,SMA,True,False,True,4.0,1.0,True,12.0,D,2021-04-14,2026-04-02,23,101.26,24.74,2012.61,21.3,1.161,False,30.43,2.657,4.36,0.231,22.99,-3.79,73.69,-9.24,0,0.0,VOO,2021_default,equity_quick
200,SMA,44,SMA,True,False,True,4.0,1.0,True,15.0,D,2021-04-14,2026-04-02,23,101.26,24.74,2012.61,21.3,1.161,False,30.43,2.657,4.36,0.231,22.99,-3.79,73.69,-9.24,0,0.0,VOO,2021_default,equity_quick
160,EMA,44,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,114.6,27.5,2146.01,23.84,1.154,False,40.0,5.809,29.41,0.384,88.83,-10.19,164.73,-19.81,0,0.0,VOO,2021_default,equity_quick
160,SMA,44,SMA,True,False,True,3.0,1.0,False,2.0,D,2021-04-14,2026-04-02,24,76.83,18.86,1768.25,16.37,1.152,False,29.17,2.654,3.13,0.226,17.24,-2.68,55.27,-6.93,0,0.0,VOO,2021_default,equity_quick
160,SMA,44,SMA,True,False,True,3.0,1.0,True,8.0,D,2021-04-14,2026-04-02,24,76.83,18.86,1768.25,16.37,1.152,False,29.17,2.654,3.13,0.226,17.24,-2.68,55.27,-6.93,0,0.0,VOO,2021_default,equity_quick
