allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,1598.94,False,14,1.7,1.5,False,14,2.5,-6.67,1803.38,34.425,10193.11,174.34,60,SMA,4.0,2.0,False,46.45,-9.0,1803.38,2021-04-01,2020-04-01,919.31,30.06,0.305,D,True,50.0,5,9.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1552.83,False,14,1.7,1.5,False,14,2.5,-4.07,1352.53,49.062,9928.0,131.59,60,SMA,3.0,0.5,False,31.65,-9.0,1352.53,2021-04-01,2020-04-01,892.8,36.895,0.307,D,True,30.0,3,9.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1544.03,False,14,1.7,1.5,False,14,2.5,-4.18,1352.53,48.253,9877.39,131.49,60,SMA,3.0,1.25,False,32.0,-6.0,1352.53,2021-04-01,2020-04-01,887.74,35.961,0.306,D,True,40.0,4,6.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1510.45,False,14,1.7,1.5,False,14,2.5,-4.3,1352.53,45.321,9684.33,131.38,60,SMA,3.0,0.5,False,33.33,-12.0,1352.53,2021-04-01,2020-04-01,868.43,34.915,0.306,D,True,20.0,2,12.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1493.49,False,14,1.7,1.5,False,14,2.5,-4.47,1352.53,43.927,9586.81,131.23,60,SMA,3.0,1.0,False,34.0,-8.0,1352.53,2021-04-01,2020-04-01,858.68,33.585,0.306,D,True,30.0,3,8.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1472.7,False,14,1.7,1.5,False,14,2.5,-7.39,1803.38,29.301,9467.27,173.69,60,SMA,4.0,2.0,False,50.26,-12.0,1803.38,2021-04-01,2020-04-01,846.73,27.113,0.303,D,True,30.0,3,12.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1439.71,False,14,1.7,1.5,False,14,2.5,-4.81,1352.53,39.85,9277.58,130.93,60,SMA,3.0,1.0,False,36.13,-9.0,1352.53,2021-04-01,2020-04-01,827.76,31.257,0.305,D,True,30.0,3,9.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1437.26,False,14,1.7,1.5,False,14,2.5,-4.84,1352.53,39.676,9263.52,130.9,60,SMA,3.0,1.25,False,36.22,-8.0,1352.53,2021-04-01,2020-04-01,826.35,31.037,0.305,D,True,30.0,3,8.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1405.3,False,14,1.7,1.5,False,14,2.5,-5.08,1352.53,37.484,9079.74,130.68,60,SMA,3.0,2.0,False,37.49,-6.0,1352.53,2021-04-01,2020-04-01,807.97,29.603,0.304,D,True,60.0,6,6.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1400.1,False,14,1.7,1.5,False,14,2.5,-5.04,1352.53,37.142,9049.87,130.72,60,SMA,3.0,1.0,False,37.7,-12.0,1352.53,2021-04-01,2020-04-01,804.99,29.824,0.304,D,True,20.0,2,12.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
